"title","pCategoryName","pCategoryID","sCategoryName","sCategoryID","itemId","price"
"Apple iPhone XR - 128GB - All Colors - Fully Unlocked - Very Good Condition","Cell Phones & Smartphones","9355","","","384354859665","339.99"
"Apple iPhone XR 128GB Fully Unlocked (GSM+CDMA) AT&T T-Mobile Verizon Red","Cell Phones & Smartphones","9355","","","164489244920","289.99"
"iPhone X XS XR 13 Max 11 12 Pro Privacy Anti-Spy Tempered Glass Screen Protector","Screen Protectors","58540","","","284044340177","5.99"
"Apple iPhone XR 64GB TracFone Locked Very Good Condition","Cell Phones & Smartphones","9355","","","304085844128","197.95"
"Apple iPhone XR (PRODUCT)RED - 128GB - (Unlocked) A1984 (CDMA + GSM)","Cell Phones & Smartphones","9355","","","154993384758","170.0"
"3-PACK For iPhone 13 12 11 Pro Max XR X XS Max 8 Tempered GLASS Screen Protector","Screen Protectors","58540","","","193230885036","2.99"
"For Apple iPhone X XR XS Max 10 Shockproof Protective Rugged Hard Cover Case","Cases, Covers & Skins","20349","","","154113417031","8.65"
"Apple iPhone XR 256GB Factory Unlocked 4G LTE Smartphone - Very Good","Cell Phones & Smartphones","9355","","","254399046524","279.99"
"Apple iPhone XR 64/128/256GB A1984 AT&T T-Mobile Verizon Xfinity Unlocked Great","Cell Phones & Smartphones","9355","","","284426107573","209.99"
"APPLE IPHONE XR A1984 BLACK 128 GB UNLOCKED","Cell Phones & Smartphones","9355","","","284813551835","229.99"
"Apple iPhone XR 64GB Black Blue Coral Red White AT&T Locked Very Good Condition","Cell Phones & Smartphones","9355","","","294291202596","224.95"
"Apple iPhone XR 64GB Unlocked 4G LTE iOS 12MP Camera Smartphone - Good","Cell Phones & Smartphones","9355","","","401941342884","227.95"
"Apple iPhone XR 128GB Factory Unlocked AT&T T-Mobile Verizon Excellent Condition","Cell Phones & Smartphones","9355","","","294494576683","304.95"
"Apple iPhone XR 64GB No Face ID Factory Unlocked Very Good Condition","Cell Phones & Smartphones","9355","","","294371136851","214.95"
"Apple iPhone XR 128GB GSM Unlocked AT&T T-Mobile Very Good Condition","Cell Phones & Smartphones","9355","","","294291237060","259.95"
